ID_Stock;Date;Close_Price;Price_Return
217.0;2015-07-17;52.3721;0.2731
219.0;2015-07-17;54.1176;-0.952
222.0;2015-07-17;96.055;-0.5672
223.0;2015-07-17;34.7199;-0.5545
224.0;2015-07-17;58.2048;-0.9482
225.0;2015-07-17;59.3661;-0.1775
226.0;2015-07-17;29.0413;-0.0777
227.0;2015-07-17;40.4458;-6.3206
233.0;2015-07-17;30.1187;-0.4034
235.0;2015-07-17;49.0558;-1.2942
236.0;2015-07-17;50.604;-0.6805
237.0;2015-07-17;109.756;0.2042
242.0;2015-07-17;16.5473;-2.3541
244.0;2015-07-17;131.334;0.2425
249.0;2015-07-17;66.6699;-0.7345
250.0;2015-07-17;109.168;-1.6872
251.0;2015-07-17;25.4703;-1.4524
252.0;2015-07-17;65.0149;-1.3114
254.0;2015-07-17;65.2234;0.0225
255.0;2015-07-17;56.6355;-0.4935
256.0;2015-07-17;79.97;0.1628
258.0;2015-07-17;86.523;-0.3699
260.0;2015-07-17;40.6185;1.0569
262.0;2015-07-17;50.7044;0.1524
263.0;2015-07-17;48.0447;-1.3427
264.0;2015-07-17;22.9025;-5.0841
268.0;2015-07-17;111.4234;-0.1764
269.0;2015-07-17;52.5006;-0.2698
270.0;2015-07-17;33.31;-4.2816
271.0;2015-07-17;31.0;-5.1408
273.0;2015-07-17;93.46;-0.0962
275.0;2015-07-17;75.8826;0.1993
276.0;2015-07-17;81.67;-0.6206
277.0;2015-07-17;55.7336;-0.7552
279.0;2015-07-17;47.6736;0.0754
283.0;2015-07-17;56.7406;-0.1673
285.0;2015-07-17;57.9682;-1.6575
286.0;2015-07-17;118.2131;-0.2235
289.0;2015-07-17;24.812;0.1983
290.0;2015-07-17;75.3804;-2.3058
291.0;2015-07-17;40.0608;-1.9291
292.0;2015-07-17;29.459600000000002;-0.5929
293.0;2015-07-17;66.9414;-1.8209
295.0;2015-07-17;27.18;1.0672
296.0;2015-07-17;106.394;-1.6739000000000002
297.0;2015-07-17;48.8105;-1.0145
298.0;2015-07-17;25.717;-0.1101
300.0;2015-07-17;73.47;0.6852
303.0;2015-07-17;44.0791;-1.4615
304.0;2015-07-17;57.3803;-0.8223
306.0;2015-07-17;92.637;-1.5779
307.0;2015-07-17;227.922;0.5265
309.0;2015-07-17;53.7047;-0.4529
310.0;2015-07-17;190.92;-0.3486
312.0;2015-07-17;40.7529;-0.7867
313.0;2015-07-17;27.5359;-0.2977
314.0;2015-07-17;105.655;0.6724
315.0;2015-07-17;41.7789;-0.5547
316.0;2015-07-17;91.24;0.1867
318.0;2015-07-17;64.0614;-0.3618
319.0;2015-07-17;27.9783;-1.436
320.0;2015-07-17;39.9308;-1.0344
321.0;2015-07-17;94.97;4.5349
323.0;2015-07-17;17.9942;-0.1669
328.0;2015-07-17;160.3385;0.4366
329.0;2015-07-17;116.28;-1.3991
330.0;2015-07-17;59.9554;-0.6357
331.0;2015-07-17;17.8828;-1.0536
335.0;2015-07-17;43.95;-1.8096999999999999
336.0;2015-07-17;44.02;-0.2153
337.0;2015-07-17;27.2188;-0.836
339.0;2015-07-17;45.4325;-0.9458
340.0;2015-07-17;44.6234;-1.3034
342.0;2015-07-17;10.9617;0.8236
347.0;2015-07-17;69.39;-1.4066
350.0;2015-07-17;38.9072;-0.4433
351.0;2015-07-17;15.3309;-2.5766999999999998
352.0;2015-07-17;56.481700000000004;2.1869
353.0;2015-07-17;8.2812;-1.5253
355.0;2015-07-17;35.3407;-1.1857
356.0;2015-07-17;31.5705;-1.1814
359.0;2015-07-17;132.718;0.1347
360.0;2015-07-17;23.3071;0.7396
361.0;2015-07-17;47.246;-0.1578
362.0;2015-07-17;24.9841;0.1307
363.0;2015-07-17;77.4529;-0.2531
364.0;2015-07-17;7.79;-0.6378
366.0;2015-07-17;101.0415;-0.4964
368.0;2015-07-17;57.7089;-1.0011
369.0;2015-07-17;194.708;0.6061
371.0;2015-07-17;27.6042;0.362
373.0;2015-07-17;208.088;0.4304
374.0;2015-07-17;90.7021;-0.5334
